timestep,mean_reward_last_100,mean_episode_length_last_100,mean_loss_last_100
1000,5937.5654,5.57,0.0
2000,6797.574,5.54,1346.2106884765626
3000,3642.4177,5.56,1137.448485107422
4000,7245.4746,5.44,1974.425498046875
5000,6192.504,5.4,3572.0772265625
6000,6513.59,5.38,5176.823833007813
7000,5332.1133,5.44,7243.519736328125
8000,5950.9043,5.31,10369.611372070312
9000,5932.1904,5.06,12010.0061328125
10000,4877.9097,5.13,16797.0269140625
11000,2645.3,5.49,24556.28734375
12000,6610.708,5.61,32090.0762890625
13000,5877.1714,5.56,39884.29986328125
14000,5214.148,5.35,49610.69171875
15000,5419.1816,5.55,60426.755703125
16000,5338.0264,4.74,72928.6409375
17000,4939.0215,5.08,85568.9555078125
18000,5563.7783,5.18,108487.4028125
19000,4159.539,4.94,131865.768203125
20000,5706.0566,5.53,157476.2978125
21000,4041.104,4.79,176305.1309375
22000,3615.9595,5.04,179566.1109375
23000,4264.806,5.33,197420.44375
24000,5408.524,4.87,231229.1534375
25000,5754.799,4.83,252396.7184375
26000,3660.9766,5.65,284989.155625
27000,5793.402,5.51,285419.003125
28000,3752.3218,5.19,289645.2578125
29000,5662.1064,5.39,353961.5815625
30000,5864.174,4.57,319299.683125
31000,6232.464,4.8,359924.11875
32000,3641.3926,5.58,388221.006875
33000,4813.3794,5.01,372296.9278125
34000,5883.7056,5.35,354545.4115625
35000,4515.159,5.59,361537.8321875
36000,5159.8066,5.52,380103.8996875
37000,5334.4907,6.36,353335.3159375
38000,5572.498,6.46,396835.904375
39000,5214.5127,7.12,357598.9
40000,4739.4985,7.17,317577.159375
41000,7140.5938,8.22,358648.86
42000,7958.4316,11.62,371392.789375
43000,9248.579,19.78,300413.194375
44000,11344.736,27.84,240060.1840625
45000,11541.526,30.65,157672.54484375
46000,11264.541,27.75,198308.99546875
47000,10828.929,28.4,151809.33734375
48000,9332.975,25.91,141514.28109375
49000,8415.469,25.13,121613.30421875
50000,8437.622,27.92,75235.2561328125
51000,9311.695,31.16,95438.90421875
52000,7940.8374,24.87,74441.540625
53000,8438.187,18.23,89869.4559375
54000,7163.0044,19.72,64855.997890625
55000,4796.901,21.26,80169.97875
56000,6778.5576,25.38,71046.319296875
57000,8235.973,26.62,63054.722734375
58000,7972.4707,18.85,107177.93265625
59000,8238.249,19.52,73909.45875
60000,5693.859,14.7,108638.70859375
61000,5452.6895,15.01,116883.479296875
62000,7126.0527,16.45,99227.78609375
63000,8179.3394,11.19,84097.86984375
64000,6129.4204,11.81,114481.578125
65000,7278.685,15.75,104421.4806640625
66000,10072.204,24.51,99927.2365625
67000,10652.021,25.46,117115.50828125
68000,11023.419,30.68,85879.48203125
69000,9221.172,27.87,101155.84875
70000,9668.008,24.34,94626.41921875
71000,8729.197,24.08,95029.137265625
72000,8823.905,18.3,102057.61265625
73000,6080.3193,13.05,86176.53765625
74000,5724.5845,15.63,83882.3959375
75000,7011.345,22.21,63799.425
76000,9427.167,27.85,85353.7728125
77000,9513.979,31.33,68416.479375
78000,9082.735,27.69,86131.9425
79000,9634.629,32.1,75560.230546875
80000,9181.81,21.88,74625.456875
81000,9157.122,14.49,86912.800078125
82000,7990.372,12.17,79312.6850390625
83000,7403.513,18.27,56471.14375
84000,6813.4507,20.76,58624.2019921875
85000,8526.745,19.53,75204.674921875
86000,9083.19,19.83,75791.862265625
87000,8105.0386,13.31,88910.94234375
88000,8019.739,17.72,118250.5309375
89000,9529.613,22.87,84546.6859375
90000,10723.397,30.03,95891.9415625
91000,11577.975,37.59,82994.52765625
92000,11311.344,40.66,60961.1603125
93000,13263.501,48.53,65236.788828125
94000,15057.475,53.75,56296.4772265625
95000,14428.054,52.4,53177.44734375
96000,15740.085,54.52,48032.688125
97000,13665.505,39.81,40616.53474609375
98000,9112.594,31.36,48820.81381347656
99000,7991.607,19.68,46527.19359375
100000,9670.144,29.2,34041.55549804687
101000,11961.607,37.92,42974.831484375
102000,14231.942,43.57,28972.913515625
103000,13518.65,43.31,43436.662109375
104000,8989.394,25.54,35573.5657421875
105000,9998.657,30.3,36880.001875
106000,10977.844,34.03,48799.7021484375
107000,13529.039,33.99,34618.8659375
108000,9725.39,20.79,37076.7540625
109000,7489.311,20.99,38903.2390625
110000,9057.414,30.44,45063.719765625
111000,11344.02,39.77,50586.275859375
112000,12179.525,41.48,36417.847734375
113000,14386.605,47.97,42151.20857421875
114000,17961.61,57.46,44559.21491699219
115000,19767.27,64.04,29120.3915234375
116000,16568.502,51.21,32123.964140625
117000,16902.752,54.33,20899.356953125
118000,17313.842,55.9,29664.5861328125
119000,12679.613,35.54,29199.07115234375
120000,9399.903,27.39,21695.3290234375
121000,9365.648,28.02,26399.4725390625
122000,12012.213,34.93,30751.06970703125
123000,13087.558,40.77,29966.51078125
124000,14812.893,48.75,33166.4241015625
125000,16780.855,56.7,35829.46703125
126000,18433.725,61.67,28457.0772265625
127000,17036.035,60.7,32940.752890625
128000,17113.293,61.08,31431.6598828125
129000,18736.44,65.72,26481.6896875
130000,16101.067,61.09,20044.94181640625
131000,16963.658,64.21,26675.598515625
132000,14614.775,50.95,19456.67654296875
133000,15330.813,49.77,27761.6194921875
134000,14011.845,39.96,23703.06419921875
135000,15405.996,40.32,26610.697939453126
136000,17032.162,43.8,29181.74078125
137000,17139.395,50.49,36562.7121484375
138000,15583.18,46.4,27739.7699609375
139000,17520.043,55.07,29115.003203125
140000,17164.89,57.19,35007.1451171875
141000,19820.496,68.21,24891.706044921873
142000,16988.064,58.26,31240.787890625
143000,18691.21,58.86,24240.5069140625
144000,20322.537,65.6,20133.2254296875
145000,21485.947,70.44,25605.530859375
146000,22911.908,78.88,18408.38681640625
147000,23507.494,78.86,27253.613168945314
148000,25622.438,84.62,20447.48125
149000,25167.318,81.71,18627.14939453125
150000,26426.643,87.65,19329.211689453125
151000,28017.133,95.8,11903.234609375
152000,28310.207,96.41,14410.9067578125
153000,30422.012,107.09,11958.567578125
154000,28280.127,99.49,15342.3788671875
155000,22553.857,76.46,16892.52603515625
156000,22097.24,74.51,15449.665412597657
157000,24855.287,83.76,23392.0956640625
158000,22924.863,78.92,21464.023325195314
159000,24119.154,79.35,14375.57388671875
160000,26258.016,84.07,18110.969663085936
161000,23897.242,73.16,24621.03689453125
162000,26690.818,83.48,13751.8973828125
163000,24890.838,79.89,19940.0475390625
164000,27358.074,90.61,11391.6828515625
165000,28059.506,96.96,11402.7815625
166000,22679.0,72.25,18129.816987304686
167000,20796.34,67.81,16731.150158691406
168000,18909.895,60.58,15738.553515625
169000,21483.475,69.02,20847.8383984375
170000,23837.047,77.23,10593.52140625
171000,21570.627,66.95,16789.024375
172000,21764.807,67.14,18449.8901953125
173000,21567.324,64.31,23628.8629296875
174000,20783.846,63.55,13488.224169921876
175000,16554.762,49.26,12075.33986328125
176000,15631.355,52.23,16835.753046875
177000,13022.316,43.11,21313.276171875
178000,16377.745,53.42,22217.3418359375
179000,17410.291,59.63,24648.85353515625
180000,18125.959,62.68,21503.54203125
181000,17799.656,59.9,19024.3658984375
182000,19048.605,63.61,20022.843017578125
183000,17887.627,53.04,19284.049677734376
184000,17421.756,54.51,22707.193447265625
185000,17245.396,54.77,22399.1108203125
186000,15402.191,49.27,16943.271015625
187000,16214.209,50.12,16027.80439453125
188000,15325.445,46.55,25962.604638671874
189000,16819.775,52.59,21773.2566796875
190000,21217.79,65.37,24385.1109765625
191000,23982.31,73.7,16721.824482421875
192000,22172.705,66.92,19938.07431640625
193000,20938.65,63.75,24018.66470703125
194000,21954.008,66.49,14799.55595703125
195000,23653.46,74.91,13691.271547851562
196000,23249.68,71.93,17178.98654296875
197000,20600.148,65.64,15240.687626953126
198000,21447.404,71.88,23366.365390625
199000,21796.38,72.64,8305.30919921875
200000,23779.508,79.41,14070.087978515625
